DataName, VC, IT, IC, VT, RPT100
DataValue,0.58,0.001,0.0073261,0.112565,112.565
DataValue,0.6,0.001,0.0073301999999999,0.11256,112.56
DataValue,0.6200000000000001,0.001,0.0073327999999999,0.11257,112.57
DataValue,0.6400000000000001,0.001,0.0073371,0.11256,112.56
DataValue,0.66,0.001,0.007339,0.11256,112.56
DataValue,0.68,0.001,0.0073413,0.11257,112.57
DataValue,0.7,0.001,0.0073436,0.11256,112.56
DataValue,0.72,0.001,0.007346,0.112565,112.565
DataValue,0.7400000000000001,0.001,0.0073479,0.11256,112.56
DataValue,0.76,0.001,0.007349,0.112565,112.565
DataValue,0.78,0.001,0.0073507,0.11256,112.56
DataValue,0.8,0.001,0.007353,0.112575,112.575
DataValue,0.82,0.001,0.0073539,0.11256,112.56
DataValue,0.84,0.001,0.0073554,0.11256,112.56
DataValue,0.86,0.001,0.0073571,0.11257,112.57
DataValue,0.8800000000000001,0.001,0.0073582,0.112565,112.565
DataValue,0.9,0.001,0.007359,0.11257,112.57
DataValue,0.92,0.001,0.0073602,0.11256,112.56
DataValue,0.94,0.001,0.0073603,0.112565,112.565
DataValue,0.96,0.001,0.0073625999999999,0.112565,112.565
DataValue,0.98,0.001,0.007363,0.11256,112.56
DataValue,1.0,0.001,0.0073625999999999,0.112575,112.575
DataValue,1.02,0.001,0.0073634,0.11256,112.56
DataValue,1.04,0.001,0.0073637,0.112555,112.555
DataValue,1.06,0.001,0.007365,0.11256,112.56
DataValue,1.08,0.001,0.0073647,0.11256,112.56
DataValue,1.1,0.001,0.0073657,0.112565,112.565
DataValue,1.12,0.001,0.0073661,0.112555,112.555
DataValue,1.14,0.001,0.0073663999999999,0.112565,112.565
DataValue,1.16,0.001,0.0073673,0.11256,112.56
DataValue,1.18,0.001,0.0073669,0.112555,112.555
DataValue,1.2,0.001,0.0073674,0.112565,112.565
DataValue,1.22,0.001,0.0073671,0.11256,112.56
DataValue,1.24,0.001,0.0073671,0.11256,112.56
DataValue,1.26,0.001,0.0073687,0.11256,112.56
DataValue,1.28,0.001,0.0073682,0.11256,112.56
DataValue,1.3,0.001,0.0073684,0.112555,112.555
DataValue,1.32,0.001,0.007368,0.112565,112.565
DataValue,1.34,0.001,0.0073679,0.11256,112.56
DataValue,1.36,0.001,0.0073677,0.112555,112.555
DataValue,1.38,0.001,0.0073676,0.11256,112.56
DataValue,1.4,0.001,0.0073673,0.112555,112.555
DataValue,1.42,0.001,0.0073674,0.11256,112.56
