DataName, VC, IT, IC, VT, RPT100
DataValue,1.68,0.001,0.0038274,0.112155,112.155
DataValue,1.66,0.001,0.00382704,0.112145,112.145
DataValue,1.64,0.001,0.00382674,0.112148,112.148
DataValue,1.62,0.001,0.00382608,0.112149,112.14900000000002
DataValue,1.6,0.001,0.00382626,0.112155,112.155
DataValue,1.58,0.001,0.00382574,0.112154,112.154
DataValue,1.56,0.001,0.00382538,0.112151,112.151
DataValue,1.54,0.001,0.00382544,0.112151,112.151
DataValue,1.52,0.001,0.00382504,0.112154,112.154
DataValue,1.5,0.001,0.00382512,0.112158,112.158
DataValue,1.48,0.001,0.0038249399999999,0.112153,112.153
DataValue,1.46,0.001,0.00382482,0.112157,112.157
DataValue,1.44,0.001,0.00382408,0.112152,112.152
DataValue,1.42,0.001,0.00382416,0.112151,112.151
DataValue,1.4,0.001,0.00382446,0.112146,112.146
DataValue,1.38,0.001,0.00382404,0.112149,112.14900000000002
DataValue,1.36,0.001,0.00382354,0.112154,112.154
DataValue,1.34,0.001,0.00382304,0.112157,112.157
DataValue,1.32,0.001,0.00382286,0.112154,112.154
DataValue,1.3,0.001,0.00382266,0.112149,112.14900000000002
DataValue,1.28,0.001,0.00382208,0.112147,112.147
DataValue,1.26,0.001,0.00382164,0.112149,112.14900000000002
DataValue,1.24,0.001,0.00382164,0.112153,112.153
DataValue,1.22,0.001,0.00382124,0.112149,112.14900000000002
DataValue,1.2,0.001,0.00382132,0.112153,112.153
DataValue,1.18,0.001,0.0038207,0.112149,112.14900000000002
DataValue,1.16,0.001,0.00382026,0.112153,112.153
DataValue,1.14,0.001,0.00382,0.112147,112.147
DataValue,1.12,0.001,0.00381926,0.112151,112.151
DataValue,1.1,0.001,0.00381924,0.112152,112.152
DataValue,1.08,0.001,0.00381916,0.112149,112.14900000000002
DataValue,1.06,0.001,0.0038184399999999,0.112148,112.148
DataValue,1.04,0.001,0.00381832,0.1121559999999999,112.156
DataValue,1.02,0.001,0.00381778,0.112152,112.152
DataValue,1.0,0.001,0.00381706,0.112147,112.147
DataValue,0.98,0.001,0.00381648,0.112147,112.147
DataValue,0.96,0.001,0.00381614,0.112149,112.14900000000002
DataValue,0.94,0.001,0.0038154,0.112149,112.14900000000002
DataValue,0.92,0.001,0.00381412,0.112149,112.14900000000002
DataValue,0.9,0.001,0.00381414,0.112149,112.14900000000002
DataValue,0.8800000000000001,0.001,0.00381332,0.112145,112.145
DataValue,0.86,0.001,0.00381288,0.112149,112.14900000000002
DataValue,0.84,0.001,0.0038121,0.112149,112.14900000000002
DataValue,0.82,0.001,0.0038116,0.11215,112.15
DataValue,0.8,0.001,0.00381042,0.112146,112.146
DataValue,0.78,0.001,0.0038096,0.112144,112.144
DataValue,0.76,0.001,0.0038088799999999,0.112144,112.144
